Designator,Footprint,Quantity,Value,LCSC Part #
SW3,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW1,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW11,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW14,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW4,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW19,SW_PUSH_6mm,1,SW_Push_45deg,
SW12,SW_PUSH_6mm,1,SW_Push_45deg,
SW13,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
U1,rp2040-zero-tht,1,rp2040-zero,
SW15,SW_PUSH_6mm,1,SW_Push_45deg,
SW7,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW8,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW5,SW_PUSH_6mm,1,SW_Push_45deg,
SW9,SW_PUSH_6mm,1,SW_Push_45deg,
SW2,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW10,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW16,SW_PUSH_6mm,1,SW_Push_45deg,
SW18,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
SW17,SW_Kailh_socket_PG1350_optional,1,SW_Push_45deg,
